dataset_id,dataset_name,source_type,source_ref,access_status,spatial_extent,temporal_extent,geometry_type,crs,license,lineage,quality_status,synthetic_status,used_by,claim_boundary
openmeteo_weather_current_proxy,Open-Meteo current weather proxy for Chongqing,public,https://api.open-meteo.com/v1/forecast,api_reachable_2026-07-04,Chongqing point or grid sample,current;forecast,point;json,EPSG:4326,Open-Meteo_terms,keyless public API verified from local curl on 2026-07-04,live_proxy,public_proxy,meteorology;uwm_heat;live_environmental_proxy;simulator_smoke,bounded_support
cams_air_pollution_proxy,CAMS NRT air pollution proxy for Chongqing through GEE,public,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_CAMS_NRT;local_snapshot=data/uwm_public_proxy/chongqing_central/gee_era5_cams_2024_07_01_07/snapshot_manifest.json,available,Chongqing central point,2024-07-01_to_2024-07-07,point_timeseries_json,EPSG:4326,GEE_ECMWF_CAMS_terms,sampled ECMWF/CAMS/NRT through locally authenticated GEE on 2026-07-05;574 records;model point proxy not station holdout,gee_model_point_proxy_not_holdout,public_proxy,air_pollution_exposure;uwm_air;simulator_context;mmfe_alignment;evidence_gate,bounded_support
openaq_air_quality_proxy,OpenAQ v3 station air quality proxy for Chongqing,public,https://openaq.org/;local_snapshot=data/uwm_public_proxy/chongqing_central/openaq_station_observations/snapshot_manifest.json,available,Chongqing central point with stations within 25km,2018-10-17T12:00:00Z_to_2021-08-09T11:00:00Z,station_timeseries_json,EPSG:4326,OpenAQ_terms,OpenAQ v3 downloaded locally on 2026-07-05 using runtime X-API-Key not persisted;15 locations;90 sensors;600 measurements;nearest station Shangqingsi about 486m;not aligned to 2024-07 scene,station_observation_available_not_scene_holdout,public_proxy,air_pollution_exposure;uwm_air;evidence_gate;mmfe_alignment;station_validation_context,bounded_support
openmeteo_air_quality_current_proxy,Open-Meteo current air-quality proxy for Chongqing,public,https://air-quality-api.open-meteo.com/v1/air-quality,api_reachable_2026-07-04,Chongqing point or grid sample,current;forecast,point;json,EPSG:4326,Open-Meteo_terms,keyless public API verified from local curl on 2026-07-04;modeled proxy not station holdout,live_proxy,public_proxy,air_pollution_exposure;uwm_air;live_environmental_proxy;simulator_smoke,bounded_support
openmeteo_weather_historical_point_proxy,Open-Meteo historical weather point proxy for Chongqing,public,https://archive-api.open-meteo.com/v1/archive;local_snapshot=data/uwm_public_proxy/chongqing_central/openmeteo_history_2024_07_01_07/snapshot_manifest.json,available,Chongqing central point,2024-07-01_to_2024-07-07,point_timeseries_json,EPSG:4326,Open-Meteo_terms,keyless public API downloaded locally on 2026-07-05;168 hourly humidity-pressure records and 7 daily temperature-precipitation-wind records;point proxy not ERA5 grid,point_history_proxy_not_holdout,public_proxy,meteorology;uwm_heat;simulator_context;mmfe_alignment,bounded_support
openmeteo_air_quality_historical_point_proxy,Open-Meteo historical air-quality point proxy for Chongqing,public,https://air-quality-api.open-meteo.com/v1/air-quality;local_snapshot=data/uwm_public_proxy/chongqing_central/openmeteo_history_2024_07_01_07/snapshot_manifest.json,available,Chongqing central point,2024-07-01_to_2024-07-07,point_timeseries_json,EPSG:4326,Open-Meteo_terms,keyless public API downloaded locally on 2026-07-05;168 hourly PM10-PM25-CO-NO2-SO2-O3 records;modeled point proxy not station-calibrated holdout,point_history_proxy_not_holdout,public_proxy,air_pollution_exposure;uwm_air;simulator_context;mmfe_alignment,bounded_support
openmeteo_livability_admin_air_quality_proxy,Open-Meteo historical air-quality representative-point proxy for UWM livability candidate admin units,public,data/uwm_public_proxy/chongqing_central/openmeteo_livability_admin_air_quality_2024_07_01_07/openmeteo_livability_admin_air_quality_proxy.json,available,Chongqing central livability candidate township and street representative points,2024-07-01_to_2024-07-07,admin_representative_point_hourly_air_quality_panel,EPSG:4326,Open-Meteo_terms,keyless public API downloaded 36 of 36 admin livability candidate representative points with 6048 hourly air-quality records;PM25 avg 34.578 ugm3;public model proxy not station observation,public_model_proxy_not_station_observation,public_proxy,air_pollution_exposure;uwm_air;admin_environment_context;planner_targeting;state_dynamics_validation,bounded_support
chongqing_township_admin_units_local,Chongqing township and street administrative units from local xiangzhen shapefile,restricted_local,/Users/zhouning/Downloads/shp/xiangzhen.shp;derived_subset=data/uwm_public_proxy/chongqing_central/admin_units/chongqing_township_admin_units.geojson,available,Chongqing municipality,source_vintage_unverified;derived_2026-07-04,polygon;multipolygon,EPSG:4326,source_terms_unknown_restricted_local,user-provided local shp directory audited 2026-07-05 as 126 files and about 1.05GB;source xiangzhen.shp has 43655 records by shx count;Chongqing subset extracted to 1017 admin units across 38 counties;topology and modern county crosswalk pending,usable_requires_vintage_topology_check,real,administrative_units;governance_unit;township;mmfe_alignment;equity_evaluation;planner;renderer,fragile
worldpop_population_chongqing_proxy,WorldPop population proxy for Chongqing,public,https://www.worldpop.org/,planned_public_download,Chongqing central urban area,2021-2024,raster,EPSG:4326,WorldPop_terms,public population proxy planned,planned,public_proxy,population_vulnerability;equity;baseline,bounded_support
chongqing_district_population_stats_2021_local,Chongqing district population statistics from local planning sample,planning_sample,data/uwm_public_proxy/chongqing_central/chongqing_district_population_2021/snapshot_manifest.json;source_excel=.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/08重庆市各区县人口规模表格数据/重庆市各区县人口规模数据.xlsx,available,Chongqing municipality districts and counties,2021,district_population_table,tabular_admin_code,source_terms_pending_Statistical_Yearbook_2022,lineage from local planning sample Excel;row source field cites Chongqing Statistical Yearbook 2022;40 rows including city total and 39 district county rows;district resident population sum 3290.08 ten-thousand people;MMFE state input generated;district-level not township grid population,local_district_statistics_not_township_grid_or_policy_outcome,real,population_vulnerability;equity_evaluation;baseline_context;mmfe_alignment,fragile
ghsl_population_built_chongqing_proxy,GHSL population and built-up proxy for Chongqing,public,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/;local_snapshot=data/uwm_public_proxy/chongqing_central/ghsl/snapshot_manifest.json,raw_public_proxy_available,Chongqing municipality tile coverage,2020,raster,EPSG:4326,CC_BY_4_0,downloaded GHSL R2023A 2020 population and built-surface 4326 30ss tiles R6/R7 C29/C30;zip validated;not clipped or MMFE aligned,raw_tiles_downloaded_zip_validated,public_proxy,population_vulnerability;urban_form;remote_sensing_state;equity,bounded_support
ghsl_admin_zonal_proxy_alignment,GHSL population and built-surface aligned to Chongqing township admin units,public,data/uwm_public_proxy/chongqing_central/ghsl_admin_alignment/ghsl_admin_alignment_manifest.json,available,Chongqing municipality township admin units,2020,township_panel_csv,EPSG:4326,CC_BY_4_0_GHSL_plus_local_admin_terms_pending,downloaded GHSL R2023A 2020 population and built-surface tiles summed inside local township polygons using pixel-center inclusion,proxy_zonal_stats_available_pixel_center_not_fractional_area,public_proxy,population_vulnerability;urban_form;remote_sensing_state;equity_evaluation;renderer_alignment;mmfe_alignment,bounded_support
gee_era5_hourly_chongqing_proxy,GEE ERA5 hourly point proxy normalized for UWM,public,data/uwm_public_proxy/chongqing_central/gee_era5_cams_2024_07_01_07/gee_era5_cams_environmental_proxy.json,available,Chongqing central point,2024-07-01_to_2024-07-07,point_timeseries_json,EPSG:4326,GEE_ECMWF_terms,normalized GEE ERA5 proxy with 168 hourly records and mmfe_uwm_state_input_gee_era5_cams.json generated,gee_reanalysis_point_proxy_not_holdout,public_proxy,meteorology;uwm_heat;simulator_context;mmfe_alignment,bounded_support
gee_cams_nrt_chongqing_proxy,GEE CAMS NRT point proxy normalized for UWM,public,data/uwm_public_proxy/chongqing_central/gee_era5_cams_2024_07_01_07/gee_era5_cams_environmental_proxy.json,available,Chongqing central point,2024-07-01_to_2024-07-07,point_timeseries_json,EPSG:4326,GEE_ECMWF_CAMS_terms,normalized GEE CAMS proxy with 574 records and mmfe_uwm_state_input_gee_era5_cams.json generated,gee_model_point_proxy_not_holdout,public_proxy,air_pollution_exposure;uwm_air;simulator_context;mmfe_alignment,bounded_support
openaq_air_quality_station_observation_proxy,OpenAQ v3 station observation proxy normalized for UWM,public,data/uwm_public_proxy/chongqing_central/openaq_station_observations/openaq_station_observation_proxy.json,available,Chongqing central point with stations within 25km,2018-10-17T12:00:00Z_to_2021-08-09T11:00:00Z,station_timeseries_json,EPSG:4326,OpenAQ_terms,normalized OpenAQ station proxy with 15 locations 90 sensors 600 measurements and mmfe_uwm_state_input_openaq_station.json generated;not aligned to 2024 scene holdout,station_observation_available_not_scene_holdout,public_proxy,air_pollution_exposure;uwm_air;station_validation_context;mmfe_alignment,bounded_support
gee_admin_environment_chongqing_proxy,GEE ERA5 CAMS representative-point environment proxy for Chongqing admin units,public,data/uwm_public_proxy/chongqing_central/gee_admin_environment_2024_07_01_07/gee_admin_environment_proxy.json,available,Chongqing township and street representative points,2024-07-01_to_2024-07-07,admin_representative_point_panel,EPSG:4326,GEE_ECMWF_CAMS_terms,sampled 1017 of 1017 local township/street representative points through GEE;ERA5 weekly mean and precipitation sum plus CAMS PM25/AOD;not polygon zonal mean,representative_point_proxy_not_zonal_mean,public_proxy,meteorology;air_pollution_exposure;admin_environment_context;mmfe_alignment;planner_targeting,bounded_support
gee_livability_admin_zonal_environment_proxy,GEE ERA5 CAMS simplified-polygon zonal proxy for UWM livability candidate admin units,public,data/uwm_public_proxy/chongqing_central/gee_livability_admin_zonal_environment_2024_07_01_07/gee_livability_admin_zonal_environment_proxy.json,available,Chongqing central livability candidate township and street polygons,2024-07-01_to_2024-07-07,simplified_admin_polygon_zonal_panel,EPSG:4326,GEE_ECMWF_CAMS_terms,sampled 36 of 36 admin livability candidate polygons through GEE simplified polygon zonal mean;ERA5 temperature pressure wind precipitation plus CAMS PM25/AOD;model proxy not station holdout,gee_zonal_model_proxy_not_station_holdout,public_proxy,meteorology;air_pollution_exposure;admin_environment_context;planner_targeting;uwm_livability,bounded_support
admin_exposure_equity_panel_2024_07,Admin exposure-equity proxy panel from GHSL and GEE admin environment,public,data/uwm_public_proxy/chongqing_central/admin_exposure_equity_2024_07_01_07/uwm_admin_exposure_equity_panel.json,available,Chongqing township and street admin units,2024-07-01_to_2024-07-07,admin_panel_json_csv,EPSG:4326,CC_BY_4_0_GHSL_plus_GEE_ECMWF_CAMS_terms_plus_local_admin_terms_pending,joined 1017 GHSL admin rows with 1017 GEE admin representative-point environment rows;exports top 50 priority proxy units for planner testing;priority is not policy effect,proxy_targeting_panel_not_observed_outcome,public_proxy,population_vulnerability;air_pollution_exposure;heat_exposure;equity_evaluation;planner_targeting;uwm_livability,bounded_support
osm_services_chongqing_public_proxy,OSM public service POI substitute for Chongqing,public,https://www.openstreetmap.org/;local_snapshot=data/uwm_public_proxy/chongqing_central/osm_services_geometry_2026_07_05/snapshot_manifest.json,available,Chongqing central bbox 29.52 106.50 29.60 106.60,2026-07-05,point_sample_json,EPSG:4326,ODbL,downloaded 200 Overpass amenity nodes with coordinates on 2026-07-05;small bbox sample not complete POI extract,overpass_bbox_sample_not_complete_osm_extract,public_proxy,service_accessibility;baseline_context;planner_targeting;mmfe_alignment,bounded_support
osm_services_geometry_public_proxy,OSM service accessibility geometry proxy normalized for UWM,public,data/uwm_public_proxy/chongqing_central/osm_services_geometry_2026_07_05/osm_service_accessibility_proxy.json,available,Chongqing central bbox 29.52 106.50 29.60 106.60,2026-07-05,point_sample_json,EPSG:4326,ODbL,normalized 200 coordinate amenity nodes into 8 service categories and mmfe_uwm_state_input_osm_service_accessibility.json generated;not network travel-time surface,service_point_sample_not_accessibility_surface,public_proxy,service_accessibility;baseline_context;planner_targeting;mmfe_alignment,bounded_support
admin_service_accessibility_panel_2026_07_05,Admin service accessibility bbox panel from OSM and Chongqing admin units,public,data/uwm_public_proxy/chongqing_central/admin_service_accessibility_2026_07_05/uwm_admin_service_accessibility_panel.json,available,Chongqing central bbox intersecting township and street units,2026-07-05,admin_panel_json_csv,EPSG:4326,ODbL_plus_local_admin_terms_pending,assigned 200 coordinate OSM amenity nodes to 36 bbox-intersecting admin units;25 units have sample points and 11 units are sample gaps not true absence,admin_bbox_sample_not_complete_accessibility_surface,public_proxy,service_accessibility;equity_evaluation;planner_targeting;baseline_context,bounded_support
admin_livability_target_panel_2024_07,Composite admin livability target panel from exposure-equity and service samples,public,data/uwm_public_proxy/chongqing_central/admin_livability_target_2024_07_2026_07_05/uwm_admin_livability_target_panel.json,available,Chongqing central bbox intersecting township and street units,2024-07_and_2026-07-05,admin_panel_json_csv,EPSG:4326,GHSL_GEE_ECMWF_CAMS_OSM_ODbL_plus_local_admin_terms_pending,joined 36 admin service rows with exposure-equity panel;3 composite target candidates and top proxy units exported for planner benchmark;score is proxy not observed outcome,composite_proxy_target_not_observed_livability,public_proxy,service_accessibility;air_pollution_exposure;heat_exposure;population_vulnerability;equity_evaluation;planner_targeting;uwm_livability,bounded_support
osm_services_complete_bbox_public_proxy,OSM complete bbox service extract for Chongqing central livability area,public,data/uwm_public_proxy/chongqing_central/osm_complete_bbox_2026_07_05/service/snapshot_manifest.json,available,Chongqing central bbox 29.52 106.50 29.60 106.60,2026-07-05,node_way_relation_center_point_json,EPSG:4326,ODbL,downloaded complete Overpass amenity node-way-relation bbox query on 2026-07-05;786 amenity elements with coordinates or centers;163 essential services;not full municipality and not travel-time accessibility,overpass_complete_bbox_not_full_municipality_or_accessibility_surface,public_proxy,service_accessibility;baseline_context;planner_targeting;mmfe_alignment,bounded_support
osm_mobility_network_complete_bbox_public_proxy,OSM complete bbox highway topology extract for Chongqing central livability area,public,data/uwm_public_proxy/chongqing_central/osm_complete_bbox_2026_07_05/mobility/snapshot_manifest.json,available,Chongqing central bbox 29.52 106.50 29.60 106.60,2026-07-05,highway_way_node_graph_json,EPSG:4326,ODbL,downloaded complete Overpass highway way bbox query with child nodes on 2026-07-05;48820 elements;42058 coordinate nodes;6762 highway ways;45468 graph edges;57 connected components;not travel-time OD or traffic-flow data,overpass_highway_topology_not_travel_time_or_od,public_proxy,mobility_graph;mobility_activity;simulator_context;baseline_context;mmfe_alignment,bounded_support
admin_service_accessibility_complete_bbox_panel_2026_07_05,Admin service accessibility panel from complete OSM bbox service extract,public,data/uwm_public_proxy/chongqing_central/admin_service_accessibility_complete_bbox_2026_07_05/uwm_admin_service_accessibility_complete_bbox_panel.json,available,Chongqing central bbox intersecting township and street units,2026-07-05,admin_panel_json_csv,EPSG:4326,ODbL_plus_local_admin_terms_pending,assigned 786 OSM amenity node-way-relation center points to 36 bbox-intersecting admin units;34 units have service points and 2 units remain bbox extract gaps not true absence,admin_bbox_extract_not_full_accessibility_surface,public_proxy,service_accessibility;equity_evaluation;planner_targeting;baseline_context,bounded_support
admin_livability_target_complete_bbox_panel_2024_07,Composite admin livability target panel using complete OSM bbox service extract,public,data/uwm_public_proxy/chongqing_central/admin_livability_target_complete_bbox_2024_07_2026_07_05/uwm_admin_livability_target_complete_bbox_panel.json,available,Chongqing central bbox intersecting township and street units,2024-07_and_2026-07-05,admin_panel_json_csv,EPSG:4326,GHSL_GEE_ECMWF_CAMS_OSM_ODbL_plus_local_admin_terms_pending,joined 36 complete-bbox service rows with exposure-equity panel;2 composite target candidates;score is proxy not observed outcome,composite_proxy_target_not_observed_livability,public_proxy,service_accessibility;air_pollution_exposure;heat_exposure;population_vulnerability;equity_evaluation;planner_targeting;uwm_livability,bounded_support
openaq_observed_temporal_benchmark_2018_10,OpenAQ observed air-pollution temporal holdout benchmark,public,data/uwm_public_proxy/chongqing_central/openaq_temporal_benchmark_2018_10/uwm_openaq_observed_temporal_benchmark.json,available,Chongqing central nearest OpenAQ station sensors,2018-10-17_to_2018-10-23,station_timeseries_benchmark_json,EPSG:4326,OpenAQ_terms,600 observed hourly measurements across 6 pollutants split into train and holdout;dynamic persistence state update beats static_train_mean and static_last_train_observation baselines on all pollutants;ordered-vs-shuffled temporal control passes on all pollutants;not policy intervention outcome,observed_temporal_state_benchmark_not_policy_outcome,public_proxy,air_pollution_exposure;evidence_gate;state_dynamics_validation;uwm_air,bounded_support
openmeteo_weather_history_openaq_window_2018_10,Open-Meteo historical weather point proxy aligned to OpenAQ temporal benchmark window,public,data/uwm_public_proxy/chongqing_central/openmeteo_history_2018_10_17_23/snapshot_manifest.json,available,Chongqing central point,2018-10-17_to_2018-10-23,point_timeseries_json,EPSG:4326,Open-Meteo_terms,keyless public API downloaded locally on 2026-07-05;168 hourly weather records and 7 daily records;air-quality API returned all-null pollutant values for this period so this row is meteorology context only,point_history_proxy_not_holdout_air_quality_missing,public_proxy,meteorology;openaq_temporal_context;simulator_context;mmfe_alignment,bounded_support
uwm_model_based_graph_search_admin_livability_proxy,UWM Graph-MDP model-based graph search report from admin livability proxy panel,public,data/uwm_public_proxy/chongqing_central/model_based_rl_graph_search_2026_07_05/uwm_model_based_graph_search_admin_livability_proxy.json,available,Chongqing admin proxy target units,2026-07-05,graph_mdp_replay_json,EPSG:4326,GHSL_GEE_OSM_ODbL_plus_local_admin_terms_pending,derived from admin_livability_target_panel with 8 proxy admin units horizon 2 beam width 5 and 109 replay transitions;best known-effect graph search reward 0.025056312 vs static single-step 0.007987516;not observed policy outcome,known_effect_graph_mdp_proxy_not_policy_outcome,public_proxy,model_based_rl;planner_targeting;uwm_livability;evidence_gate;trajectory_dataset,bounded_support
chongqing_admin_spatial_adjacency_graph_2026_07_05,Chongqing township and street administrative boundary adjacency graph,restricted_local,data/uwm_public_proxy/chongqing_central/admin_spatial_graph_2026_07_05/uwm_admin_spatial_adjacency_graph.json,available,Chongqing municipality township and street admin units,derived_2026-07-05,admin_boundary_adjacency_graph,EPSG:4326,source_terms_unknown_restricted_local,derived from full local Chongqing township and street GeoJSON with 1017 nodes 2847 boundary adjacency edges and 0 isolated nodes;not a road or mobility graph,usable_topology_graph_requires_source_vintage_license_check,real,spatial_adjacency_graph;admin_spatial_graph;admin_boundary_adjacency;model_based_rl;planner_targeting;simulator;uwm_livability,fragile
uwm_model_based_graph_search_admin_livability_spatial_graph_proxy,UWM Graph-MDP model-based graph search report using admin spatial adjacency graph,planning_sample,data/uwm_public_proxy/chongqing_central/model_based_rl_graph_search_2026_07_05/uwm_model_based_graph_search_admin_livability_spatial_graph_proxy.json,available,Chongqing central bbox intersecting township and street candidate units,2026-07-05,graph_mdp_replay_json,EPSG:4326,GHSL_GEE_OSM_ODbL_plus_local_admin_terms_pending_plus_local_admin_terms_pending,derived from 36 admin livability candidate units induced from full 1017 node boundary graph;selected subgraph has 96 spatial edges and 355 replay transitions;best known-effect graph search reward 0.012346806 vs static single-step 0.001439757;not observed policy outcome,known_effect_spatial_graph_mdp_proxy_not_policy_outcome,public_proxy,model_based_rl;planner_targeting;uwm_livability;evidence_gate;trajectory_dataset,bounded_support
uwm_offline_value_model_admin_livability_spatial_graph_proxy,UWM offline graph value model trained on spatial Graph-MDP replay,planning_sample,data/uwm_public_proxy/chongqing_central/model_based_rl_graph_search_2026_07_05/uwm_offline_value_model_admin_livability_spatial_graph_proxy.json,available,Chongqing central bbox intersecting township and street candidate units,2026-07-05,offline_value_model_report_json,EPSG:4326,GHSL_GEE_OSM_ODbL_plus_local_admin_terms_pending_plus_local_admin_terms_pending,ridge value model trained on 355 simulator replay transitions from spatial Graph-MDP;holdout MAE 0.000165326 vs train-mean baseline MAE 0.002418188;not observed policy outcome,offline_replay_value_model_not_policy_outcome,public_proxy,model_based_rl;offline_value_model;planner_targeting;uwm_livability;evidence_gate;trajectory_dataset,bounded_support
uwm_offline_world_model_policy_admin_livability_spatial_graph_proxy,UWM offline action-conditioned world-model policy trained on spatial Graph-MDP replay,planning_sample,data/uwm_public_proxy/chongqing_central/model_based_rl_graph_search_2026_07_05/uwm_offline_world_model_policy_admin_livability_spatial_graph_proxy.json,available,Chongqing central bbox intersecting township and street candidate units,2026-07-05,offline_world_model_policy_report_json,EPSG:4326,GHSL_GEE_OSM_ODbL_plus_local_admin_terms_pending_plus_local_admin_terms_pending,ridge action-conditioned reward and dynamics model trained on 355 simulator replay transitions from spatial Graph-MDP;holdout reward MAE 0.000165324 vs train-mean baseline MAE 0.002418188;conservative learned policy replay mean reward 0.009041181 vs static heuristic 0.007839757;not observed policy outcome,offline_world_model_policy_replay_not_policy_outcome,public_proxy,model_based_rl;offline_world_model;policy_improvement;planner_targeting;uwm_livability;evidence_gate;trajectory_dataset,bounded_support
uwm_offline_world_model_rollout_planner_admin_livability_spatial_graph_proxy,UWM multi-step learned world-model rollout planner trained on spatial Graph-MDP replay,planning_sample,data/uwm_public_proxy/chongqing_central/model_based_rl_graph_search_2026_07_05/uwm_offline_world_model_rollout_planner_admin_livability_spatial_graph_proxy.json,available,Chongqing central bbox intersecting township and street candidate units,2026-07-05,offline_world_model_rollout_planner_report_json,EPSG:4326,GHSL_GEE_OSM_ODbL_plus_local_admin_terms_pending_plus_local_admin_terms_pending,action-conditioned reward and dynamics model trained on 355 simulator replay transitions;holdout reward MAE 0.000165324 vs train-mean baseline MAE 0.002418188;multi-step learned rollout selected increase_green_infrastructure-江北区|观音桥街道|653 then add_community_service-九龙坡区|谢家湾街道|785;imagined conservative score 0.011528613 vs static 0.00124898 and one-step learned policy 0.002012933;not observed policy outcome,learned_world_model_rollout_replay_not_policy_outcome,public_proxy,model_based_rl;offline_world_model;learned_rollout_planner;policy_improvement;planner_targeting;uwm_livability;evidence_gate;trajectory_dataset,bounded_support
uwm_graph_aware_world_model_admin_livability_spatial_graph_proxy,UWM graph-aware action-conditioned world model trained on spatial Graph-MDP replay,planning_sample,data/uwm_public_proxy/chongqing_central/model_based_rl_graph_search_2026_07_05/uwm_graph_aware_world_model_admin_livability_spatial_graph_proxy.json,available,Chongqing central bbox intersecting township and street candidate units,2026-07-05,graph_aware_world_model_report_json,EPSG:4326,GHSL_GEE_OSM_ODbL_plus_local_admin_terms_pending_plus_local_admin_terms_pending,graph-aware ridge action-conditioned reward and dynamics model trained on 355 spatial Graph-MDP replay transitions using 36 nodes and 96 admin adjacency edges;holdout reward MAE 0.000103937 vs target-only baseline 0.000844982 and train-mean baseline 0.002418188;reward win rate vs target-only 0.957746479;not observed policy outcome,graph_aware_replay_world_model_not_policy_outcome,public_proxy,model_based_rl;offline_world_model;graph_aware_dynamics;spatial_adjacency_graph;policy_improvement;planner_targeting;uwm_livability;evidence_gate;trajectory_dataset,bounded_support
uwm_synthetic_policy_outcome_benchmark_admin_livability_spatial_graph,UWM synthetic policy outcome benchmark for spatial Graph-MDP policies,synthetic,data/uwm_public_proxy/chongqing_central/model_based_rl_graph_search_2026_07_05/uwm_synthetic_policy_outcome_benchmark_admin_livability_spatial_graph.json,available,Chongqing central bbox intersecting township and street candidate units,2026-07-05,synthetic_policy_outcome_benchmark_json,EPSG:4326,internal_UWM_simulator_synthesis_from_spatial_Graph_MDP_state,simulator-generated policy outcomes for static heuristic graph-search best and learned rollout policies;learned rollout synthetic reward 0.006346806 vs static -0.004560243;advantage 0.010907049;not observed intervention data,synthetic_policy_outcome_not_observed,synthetic,policy_outcome_scaffold;offline_policy_evaluation;model_based_rl;synthetic_holdout_scaffold;planner_targeting;uwm_livability,exploratory_only
